name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Bandung, Indonesia",2019-04-11,29.6,23.1,25.5,32.2,23.1,26.2,22.5,84.2,1.108,100,8.33,rain,0,0,,31.5,253.5,,76.9,6.1,237.5,20.6,9,,2019-04-11T05:51:19,2019-04-11T17:50:05,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96791099999,96781099999,remote,96751099999"
"Bandung, Indonesia",2019-04-12,29.9,21.4,25.6,32.3,21.4,26.5,22.7,84.8,0.008,100,4.17,rain,0,0,,27.6,218.5,,78.4,5.4,174,14.9,6,,2019-04-12T05:51:14,2019-04-12T17:49:39,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96791099999,96781099999,remote,96751099999"
"Bandung, Indonesia",2019-04-13,27.9,22.1,25.2,30.6,22.1,25.7,22.8,87.4,17.98,100,12.5,rain,0,0,,20.4,167.4,,84,5.3,148.9,13,6,,2019-04-13T05:51:09,2019-04-13T17:49:13,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96791099999,96781099999,remote,96751099999"
"Bandung, Indonesia",2019-04-14,28.9,21.1,25.5,32.5,21.1,26.5,22.8,85.3,42.272,100,16.67,rain,0,0,,15.1,124.1,,66.1,4.3,240.2,20.8,9,,2019-04-14T05:51:05,2019-04-14T17:48:47,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96791099999,96781099999,remote,96751099999"
"Bandung, Indonesia",2019-04-15,30.3,21.7,25.8,32.5,21.7,26.8,22.4,82.4,10.103,100,12.5,rain,0,0,,18.3,112,,66.3,5.3,255.7,22,9,,2019-04-15T05:51:00,2019-04-15T17:48:22,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96791099999,96781099999,remote,96751099999"
"Bandung, Indonesia",2019-04-16,29,21.1,25.4,31.6,21.1,26.1,22.9,86.7,1.13,100,20.83,rain,0,0,,27.6,143.7,,79,3.8,143.1,12.4,6,,2019-04-16T05:50:57,2019-04-16T17:47:57,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96791099999,96781099999,remote,96751099999"
"Bandung, Indonesia",2019-04-17,29.8,20.4,25.7,33.9,20.4,26.9,22.8,84.5,9.961,100,12.5,rain,0,0,,11.5,118.5,,71.9,5.1,235.5,20.5,9,,2019-04-17T05:50:53,2019-04-17T17:47:32,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96791099999,96781099999,remote,96751099999"
"Bandung, Indonesia",2019-04-18,28.2,21.4,25.6,32.7,21.4,26.7,23.6,89,5.978,100,12.5,rain,0,0,,16.9,107,,74.2,4.1,143.8,12.3,6,,2019-04-18T05:50:50,2019-04-18T17:47:08,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96791099999,96781099999,remote,96751099999"
"Bandung, Indonesia",2019-04-19,26.6,21.9,25.1,26.6,21.9,25.1,23.3,89.9,5.069,100,20.83,rain,0,0,,28.4,134.4,,86.7,4.4,78.5,6.8,3,,2019-04-19T05:50:47,2019-04-19T17:46:45,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96791099999,96781099999,remote,96751099999"
"Bandung, Indonesia",2019-04-20,27.5,21.9,25.4,31.1,21.9,26.1,23.4,88.9,8.34,100,20.83,rain,0,0,,22.3,114.1,,77.3,4,132.2,11.5,5,,2019-04-20T05:50:44,2019-04-20T17:46:22,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96791099999,96781099999,remote,96751099999"
"Bandung, Indonesia",2019-04-21,28.2,20.9,25.5,32.1,20.9,26.5,23.2,87.4,75,100,66.67,rain,0,0,,22,106.7,,74.3,5.4,126.8,11,5,,2019-04-21T05:50:42,2019-04-21T17:45:59,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96791099999,96781099999,remote,96751099999"
"Bandung, Indonesia",2019-04-22,30.2,20.2,25.1,31.2,20.2,25.4,22.7,87,3.979,100,8.33,rain,0,0,,18,120.3,,82.3,5.3,76.9,6.7,2,,2019-04-22T05:50:40,2019-04-22T17:45:37,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96791099999,96781099999,remote,96751099999"
"Bandung, Indonesia",2019-04-23,29.9,21.4,25.7,34.3,21.4,26.9,23.3,87.4,7.277,100,12.5,rain,0,0,,24.8,114.4,,72,4.8,225,19.4,8,,2019-04-23T05:50:38,2019-04-23T17:45:16,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96791099999,96781099999,remote,96751099999"
"Bandung, Indonesia",2019-04-24,28.1,21.7,25.4,32.2,21.7,26.2,23.1,87.6,0.15,100,8.33,rain,0,0,,21.2,121.5,,74.5,4.6,181.4,15.7,7,,2019-04-24T05:50:37,2019-04-24T17:44:55,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96791099999,96781099999,remote,96751099999"
"Bandung, Indonesia",2019-04-25,28.6,20.4,25.4,33,20.4,26.4,22.9,86.5,18.051,100,16.67,rain,0,0,,21.2,114.7,,78.2,4.5,236.9,20.3,9,,2019-04-25T05:50:36,2019-04-25T17:44:34,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96791099999,96781099999,remote,96751099999"
"Bandung, Indonesia",2019-04-26,28.5,21.9,25.2,32.6,21.9,26.1,22.6,85.8,18.013,100,25,rain,0,0,,22.2,113.9,,72.9,7.3,279.9,24,9,,2019-04-26T05:50:36,2019-04-26T17:44:14,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96791099999,96781099999,remote,96751099999"
